Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.751238, 5.561000, 0.001250, 0.050000, 1.000000, 20.000000, 0.000000, 
50, 1.754988, 5.561000, 0.005000, 0.075000, 0.500000, -10.000000, 0.000000, 
50, 1.761238, 5.561000, 0.011250, 0.125000, 1.000000, 10.000000, 0.000000, 
50, 1.769988, 5.561000, 0.020000, 0.175000, 1.000000, -0.000000, 0.000000, 
50, 1.781238, 5.561000, 0.031250, 0.225000, 1.000000, 0.000000, 0.000000, 
50, 1.794987, 5.561000, 0.045000, 0.275000, 1.000000, -0.000000, 0.000000, 
50, 1.811237, 5.561000, 0.061250, 0.325000, 1.000000, -0.000000, 0.000000, 
50, 1.829987, 5.561000, 0.080000, 0.375000, 1.000000, 0.000000, 0.000000, 
50, 1.851237, 5.561000, 0.101250, 0.425000, 1.000000, 0.000000, 0.000000, 
50, 1.874988, 5.561000, 0.125000, 0.475000, 1.000000, -0.000000, 0.000000, 
50, 1.901238, 5.561000, 0.151250, 0.525000, 1.000000, -0.000000, 0.000000, 
50, 1.929987, 5.561000, 0.180000, 0.575000, 1.000000, -0.000000, 0.000000, 
50, 1.961237, 5.561000, 0.211250, 0.625000, 1.000000, 0.000000, 0.000000, 
50, 1.994987, 5.561000, 0.245000, 0.675000, 1.000000, 0.000000, 0.000000, 
50, 2.031237, 5.561000, 0.281250, 0.725000, 1.000000, 0.000000, 0.000000, 
50, 2.069987, 5.561000, 0.320000, 0.775000, 1.000000, -0.000000, 0.000000, 
50, 2.111237, 5.561000, 0.361250, 0.825000, 1.000000, 0.000000, 0.000000, 
50, 2.154987, 5.561000, 0.405000, 0.875000, 1.000000, -0.000000, 0.000000, 
50, 2.201237, 5.561000, 0.451250, 0.925000, 1.000000, 0.000000, 0.000000, 
50, 2.249987, 5.561000, 0.500000, 0.975000, 1.000000, 0.000000, 0.000000, 
50, 2.301237, 5.561000, 0.551250, 1.025000, 1.000000, 0.000000, 0.000000, 
50, 2.354987, 5.561000, 0.605000, 1.075000, 1.000000, -0.000000, 0.000000, 
50, 2.411237, 5.561000, 0.661250, 1.125000, 1.000000, 0.000000, 0.000000, 
50, 2.469987, 5.561000, 0.720000, 1.175000, 1.000000, -0.000000, 0.000000, 
50, 2.531238, 5.561000, 0.781250, 1.225000, 1.000000, -0.000000, 0.000000, 
50, 2.594988, 5.561000, 0.845000, 1.275000, 1.000000, 0.000000, 0.000000, 
50, 2.661238, 5.561000, 0.911250, 1.325000, 1.000000, 0.000000, 0.000000, 
50, 2.729988, 5.561000, 0.980000, 1.375000, 1.000000, -0.000000, 0.000000, 
50, 2.801238, 5.561000, 1.051250, 1.425000, 1.000000, 0.000000, 0.000000, 
50, 2.874988, 5.561000, 1.125000, 1.475000, 1.000000, 0.000000, 0.000000, 
50, 2.951238, 5.561000, 1.201250, 1.525000, 1.000000, -0.000000, 0.000000, 
50, 3.025734, 5.561173, 1.275746, 1.489927, -0.701465, -34.029293, 0.013571, 
50, 3.094343, 5.563456, 1.344394, 1.372949, -2.339561, -32.761923, 0.054079, 
50, 3.162844, 5.568776, 1.413101, 1.374141, 0.023844, 47.268100, 0.102427, 
50, 3.230374, 5.577644, 1.481211, 1.362199, -0.238841, -5.253701, 0.160724, 
50, 3.295793, 5.590554, 1.547892, 1.333621, -0.571560, -6.654389, 0.231640, 
50, 3.356871, 5.607629, 1.611311, 1.268392, -1.304580, -14.660388, 0.317046, 
50, 3.411609, 5.628572, 1.669919, 1.172145, -1.924945, -12.407311, 0.417908, 
50, 3.459320, 5.653058, 1.723547, 1.072561, -1.991674, -1.334574, 0.534761, 
50, 3.500093, 5.680853, 1.772892, 0.986907, -1.713075, 5.571976, 0.665370, 
